brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years,price_inr,price_per_kwh_inr,range_per_10k_inr,range_per_kwh,value_score,price_bucket
Hyundai,Ioniq 6,2025,Performance,86045.75,96.3,314.0,180.3,3.08,200.0,1000.0,905.0,RWD,7,Hatchback,27.4,1500.0,5,0,South Korea,Premium,124864,3.57,4,7184820.12,74608.72,0.437,3.2606,43.7033,₹50–75L
Kia,EV9,2024,Standard,66876.75,66.7,236.0,96.7,6.02,164.0,754.0,647.0,RWD,5,SUV,66.8,1980.0,4,2,South Korea,Premium,117514,3.53,3,5584208.62,83721.27,0.4226,3.5382,42.262,₹50–75L
Tesla,Model Y,2025,Performance,135780.6,105.2,383.0,344.9,4.02,196.0,997.0,903.0,AWD,5,Truck,69.0,2015.0,5,2,US,Luxury,411097,4.12,5,11337680.1,107772.62,0.3378,3.6407,33.7812,₹100–150L
Kia,Niro EV,2024,Performance,105946.66,79.3,245.0,222.0,3.24,200.0,1000.0,919.0,RWD,7,Coupe,15.9,1701.0,4,1,South Korea,Luxury,147459,3.43,3,8846546.11,111557.96,0.2769,3.0895,27.6944,₹75–100L
Tesla,Model X,2025,Base,110771.86,52.9,177.0,216.7,6.55,151.0,826.0,728.0,AWD,5,SUV,35.7,1959.0,4,2,US,Luxury,179640,3.42,5,9249450.31,174847.83,0.1914,3.3459,19.1363,₹75–100L
Tesla,Cybertruck,2024,Performance,42827.24,89.9,311.0,240.1,2.94,200.0,263.0,241.0,AWD,5,Truck,55.5,2122.0,4,3,US,Mid-range,133489,3.82,5,3576074.54,39778.36,0.8697,3.4594,86.9669,₹25–50L
Toyota,bZ Compact SUV,2020,Long Range,70748.34,94.2,335.0,104.7,5.66,169.0,818.0,760.0,AWD,5,SUV,66.5,2056.0,5,0,Japan,Premium,2261,3.72,4,5907486.39,62712.17,0.5671,3.5563,56.7077,₹50–75L
Fisker,Ronin,2026,Base,50395.94,63.9,243.0,106.1,7.33,147.0,334.0,275.0,FWD,7,Sedan,34.5,1500.0,5,1,US,Mid-range,11950,3.48,4,4208060.99,65853.85,0.5775,3.8028,57.7463,₹25–50L
Ford,E-Transit,2025,Performance,69597.51,106.2,361.0,219.0,3.88,192.0,783.0,728.0,AWD,5,Sedan,38.9,1500.0,5,1,US,Premium,24574,3.79,3,5811392.08,54721.21,0.6212,3.3992,62.1194,₹50–75L
BYD,Leaf 50X,2025,Standard,31434.26,60.6,229.0,98.1,7.69,136.0,285.0,269.0,RWD,5,Hatchback,31.5,1643.0,4,0,China,Budget,242953,3.29,4,2624760.71,43312.88,0.8725,3.7789,87.246,₹25–50L
Tesla,Model X,2023,Base,109503.65,47.9,155.0,304.7,6.19,164.0,825.0,733.0,RWD,5,Van,72.8,1500.0,5,3,US,Luxury,174834,3.59,4,9143554.78,190888.41,0.1695,3.2359,16.9518,₹75–100L
BMW,i7,2025,Performance,156773.89,81.4,266.0,182.2,4.2,190.0,1000.0,908.0,AWD,5,Truck,76.8,2499.0,5,1,Germany,Luxury,58126,3.6,5,13090619.82,160818.43,0.2032,3.2678,20.3199,₹100–150L
Volkswagen,ID.3,2021,Long Range,52966.98,96.8,311.0,134.7,5.8,171.0,460.0,436.0,RWD,5,Coupe,20.6,1853.0,5,0,Germany,Mid-range,232633,3.55,5,4422742.83,45689.49,0.7032,3.2128,70.3184,₹25–50L
Tesla,Cybertruck,2024,Standard,121805.3,58.9,204.0,274.6,5.61,173.0,850.0,776.0,FWD,7,Truck,56.2,2502.0,4,3,US,Luxury,225373,3.75,5,10170742.55,172678.14,0.2006,3.4635,20.0575,₹100–150L
Hyundai,Ioniq 6,2025,Standard,69769.46,63.2,212.0,79.0,7.79,133.0,890.0,734.0,FWD,5,Hatchback,28.1,1500.0,4,0,South Korea,Premium,50147,3.21,4,5825749.91,92179.59,0.3639,3.3544,36.3902,₹50–75L
Tesla,Model X,2024,Long Range,117517.98,101.0,350.0,245.4,4.65,186.0,881.0,810.0,AWD,5,Truck,80.0,2225.0,5,2,US,Luxury,122440,3.96,5,9812751.33,97155.95,0.3567,3.4653,35.6679,₹75–100L
Audi,e-tron GT,2025,Standard,53762.11,52.1,156.0,112.8,6.45,154.0,207.0,200.0,FWD,5,Coupe,17.6,1899.0,4,2,Germany,Mid-range,69650,3.68,7,4489136.18,86163.84,0.3475,2.9942,34.7506,₹25–50L
BYD,Max,2024,Base,24029.61,45.6,153.0,53.1,5.16,177.0,211.0,200.0,FWD,5,Sedan,32.5,1669.0,5,0,China,Budget,157077,3.46,3,2006472.44,44001.59,0.7625,3.3553,76.2532,<₹25L
BMW,i3,2024,Long Range,120387.4,79.4,285.0,134.3,4.2,193.0,1000.0,988.0,RWD,5,Truck,62.9,2464.0,4,2,Germany,Luxury,62864,3.27,8,10052347.9,126603.88,0.2835,3.5894,28.3516,₹100–150L
BYD,Atto 3,2025,Base,26682.38,53.9,199.0,117.3,7.39,137.0,274.0,206.0,FWD,7,Truck,68.8,2367.0,4,0,China,Budget,158602,3.26,3,2227978.73,41335.41,0.8932,3.692,89.3186,<₹25L
Hyundai,Ioniq,2025,Base,45100.09,79.5,257.0,85.6,5.25,174.0,478.0,396.0,AWD,5,Hatchback,39.6,1705.0,4,1,South Korea,Mid-range,128526,3.61,4,3765857.51,47369.28,0.6824,3.2327,68.2447,₹25–50L
Kia,Sportage EV,2023,Standard,77484.79,81.2,284.0,147.7,5.31,169.0,923.0,832.0,FWD,5,SUV,55.4,2017.0,3,1,South Korea,Premium,101678,3.34,4,6469979.96,79679.56,0.439,3.4975,43.895,₹50–75L
Tesla,Model Y,2023,Standard,98108.77,46.5,150.0,338.8,5.21,174.0,760.0,665.0,FWD,5,SUV,44.4,2146.0,5,2,US,Premium,431290,3.33,4,8192082.3,176173.81,0.1831,3.2258,18.3104,₹75–100L
Fisker,Ronin,2020,Performance,143106.79,75.3,272.0,170.3,3.68,197.0,1000.0,935.0,AWD,5,Hatchback,38.4,1705.0,4,1,US,Luxury,18708,3.53,4,11949416.96,158690.8,0.2276,3.6122,22.7626,₹100–150L
Ford,F-150 Lightning,2026,Base,52266.72,73.4,268.0,58.4,7.42,137.0,514.0,472.0,FWD,2,Truck,50.3,2850.0,5,0,US,Mid-range,62843,3.72,3,4364271.12,59458.73,0.6141,3.6512,61.4077,₹25–50L
NIO,ET6,2025,Performance,60624.73,82.4,278.0,174.8,2.63,200.0,476.0,420.0,RWD,7,SUV,48.0,2138.0,4,0,China,Mid-range,8857,3.49,4,5062164.96,61434.04,0.5492,3.3738,54.9172,₹50–75L
Audi,e-tron GT,2025,Base,63332.23,84.4,310.0,92.7,5.62,162.0,284.0,288.0,RWD,7,Coupe,31.7,1565.0,5,1,Germany,Mid-range,62327,3.85,6,5288241.2,62656.89,0.5862,3.673,58.6206,₹50–75L
Kia,Sportage EV,2024,Long Range,95244.75,77.2,262.0,94.4,4.04,194.0,1000.0,842.0,AWD,5,SUV,67.4,2045.0,4,1,South Korea,Premium,76023,3.44,3,7952936.62,103017.31,0.3294,3.3938,32.9438,₹75–100L
Rivian,R3,2024,Base,66816.36,69.9,247.0,118.5,5.33,171.0,150.0,200.0,AWD,5,Sedan,23.9,1757.0,5,0,US,Premium,27456,3.39,6,5579166.06,79816.4,0.4427,3.5336,44.2718,₹50–75L
Tesla,Model X,2025,Base,73015.63,82.4,304.0,275.5,5.58,156.0,528.0,501.0,RWD,7,Truck,62.4,2036.0,5,2,US,Premium,173406,3.75,5,6096805.1,73990.35,0.4986,3.6893,49.8622,₹50–75L
Tesla,Cybertruck,2025,Performance,117415.98,78.1,263.0,215.8,2.94,200.0,927.0,847.0,AWD,5,Truck,61.7,2353.0,5,2,US,Luxury,183531,3.7,5,9804234.33,125534.37,0.2683,3.3675,26.8251,₹75–100L
Tesla,Model 3,2025,Standard,71316.86,73.9,249.0,282.0,6.73,144.0,502.0,509.0,RWD,5,SUV,52.9,2053.0,5,3,US,Premium,242716,3.7,5,5954957.81,80581.3,0.4181,3.3694,41.8139,₹50–75L
BYD,Leaf 50X,2025,Base,59005.52,58.4,200.0,121.5,7.64,137.0,667.0,633.0,RWD,5,Van,76.9,1500.0,5,0,China,Mid-range,127516,3.31,5,4926960.92,84365.77,0.4059,3.4247,40.593,₹25–50L
Volkswagen,ID. Aero,2024,Long Range,42431.05,88.6,306.0,104.2,5.94,166.0,337.0,286.0,AWD,5,Coupe,39.7,1590.0,3,1,Germany,Mid-range,260840,3.53,4,3542992.68,39988.63,0.8637,3.4537,86.3677,₹25–50L
BYD,Dolphin,2024,Performance,30671.06,87.5,303.0,233.1,4.18,190.0,345.0,269.0,AWD,5,Sedan,29.5,1815.0,5,0,China,Budget,201621,3.28,4,2561033.51,29268.95,1.1831,3.4629,118.3116,₹25–50L
Mercedes,EQC,2025,Performance,188302.14,78.5,277.0,225.0,4.32,185.0,1000.0,943.0,RWD,7,Coupe,28.5,1500.0,4,2,Germany,Luxury,43172,4.0,7,15723228.69,200295.91,0.1762,3.5287,17.6172,₹150–200L
Volkswagen,ID.4,2023,Long Range,94330.19,105.4,383.0,105.8,5.17,177.0,1000.0,868.0,FWD,7,Sedan,21.8,1500.0,5,1,Germany,Premium,232451,3.95,3,7876570.86,74730.27,0.4863,3.6338,48.6252,₹75–100L
BYD,Dolphin,2024,Premium,83518.44,77.1,267.0,148.3,7.36,146.0,954.0,884.0,AWD,5,Coupe,21.5,1652.0,3,1,China,Premium,148454,3.28,5,6973789.74,90451.23,0.3829,3.463,38.2862,₹50–75L
Kia,Niro EV,2024,Premium,68436.66,70.0,249.0,131.3,7.12,141.0,790.0,742.0,AWD,5,Coupe,23.0,1556.0,3,0,South Korea,Premium,81219,3.63,3,5714461.11,81635.16,0.4357,3.5571,43.5737,₹50–75L
Tesla,Model Y,2025,Performance,43196.41,111.9,408.0,293.7,4.23,197.0,338.0,357.0,RWD,7,Truck,70.3,2547.0,5,3,US,Mid-range,437912,4.03,5,3606900.24,32233.25,1.1312,3.6461,113.1165,₹25–50L
Ford,Explorer EV,2024,Long Range,66402.61,90.5,334.0,96.1,5.88,162.0,752.0,677.0,RWD,5,Van,67.5,1894.0,5,1,US,Premium,36517,3.69,3,5544617.94,61266.5,0.6024,3.6906,60.2386,₹50–75L
Tesla,Model X,2024,Performance,42932.18,99.0,356.0,209.1,3.87,192.0,227.0,200.0,RWD,7,Hatchback,27.2,1500.0,5,2,US,Mid-range,238196,4.0,5,3584837.03,36210.48,0.9931,3.596,99.3072,₹25–50L
Porsche,Macan Electric,2022,Long Range,101897.93,76.1,254.0,291.0,5.76,163.0,335.0,326.0,AWD,7,Truck,72.1,2679.0,5,0,Germany,Luxury,26972,3.68,7,8508477.15,111806.53,0.2985,3.3377,29.8526,₹75–100L
Ford,E-Transit,2025,Premium,45539.59,55.1,198.0,143.8,5.26,173.0,379.0,335.0,AWD,5,Hatchback,16.4,1785.0,5,0,US,Mid-range,26865,3.0,3,3802555.76,69011.9,0.5207,3.5935,52.0702,₹25–50L
Tesla,Model S,2024,Premium,66707.72,45.8,150.0,301.1,5.19,166.0,486.0,420.0,AWD,5,Van,69.7,1686.0,5,2,US,Premium,187104,3.23,5,5570094.62,121617.79,0.2693,3.2751,26.9295,₹50–75L
Tesla,Model S,2020,Performance,102900.51,74.1,231.0,323.4,2.61,200.0,708.0,567.0,RWD,5,Truck,79.8,2284.0,3,2,US,Luxury,184383,3.8,5,8592192.58,115954.02,0.2688,3.1174,26.8849,₹75–100L
Ford,Explorer EV,2024,Long Range,69723.4,91.5,331.0,118.7,5.32,180.0,792.0,705.0,AWD,7,Truck,72.9,2451.0,5,0,US,Premium,54063,3.64,4,5821903.9,63627.37,0.5685,3.6175,56.8543,₹50–75L
GM/Chevrolet,Bolt EUV,2025,Performance,102049.38,116.6,395.0,163.2,4.21,192.0,1000.0,893.0,AWD,5,Van,72.1,1834.0,4,1,US,Luxury,7957,4.16,5,8521123.23,73079.96,0.4636,3.3877,46.3554,₹75–100L
GM/Chevrolet,Equinox EV,2024,Long Range,78668.52,102.9,368.0,72.1,4.44,179.0,1000.0,916.0,AWD,5,SUV,65.5,2096.0,5,0,US,Premium,14020,3.97,4,6568821.42,63836.94,0.5602,3.5763,56.0222,₹50–75L
Ford,Mustang Mach-E,2024,Standard,79438.2,82.5,299.0,128.6,6.77,149.0,967.0,916.0,RWD,5,Van,80.0,1521.0,5,0,US,Premium,21827,3.81,3,6633089.7,80401.09,0.4508,3.6242,45.077,₹50–75L
Tesla,Model 3,2024,Performance,139025.28,93.4,320.0,293.9,3.06,200.0,995.0,917.0,AWD,5,Coupe,17.8,1500.0,4,2,US,Luxury,220216,4.07,5,11608610.88,124289.2,0.2757,3.4261,27.5657,₹100–150L
Volkswagen,ID.3,2025,Base,38889.44,65.0,231.0,142.7,6.1,160.0,313.0,257.0,FWD,5,Sedan,20.9,1571.0,5,1,Germany,Mid-range,293320,3.41,3,3247268.24,49957.97,0.7114,3.5538,71.1367,₹25–50L
Tesla,Model 3,2025,Performance,169366.43,117.4,416.0,241.6,3.06,200.0,1000.0,931.0,RWD,7,SUV,44.7,1923.0,5,2,US,Luxury,248754,4.09,5,14142096.9,120460.79,0.2942,3.5434,29.4157,₹100–150L
Mercedes,GLE EV,2023,Standard,144581.79,42.8,150.0,146.8,6.34,156.0,852.0,767.0,FWD,7,SUV,57.7,1857.0,4,1,Germany,Luxury,76491,3.42,7,12072579.46,282069.61,0.1242,3.5047,12.4249,₹100–150L
BMW,iX,2023,Premium,86081.93,72.3,247.0,125.7,5.89,166.0,612.0,541.0,AWD,7,Truck,60.3,2745.0,4,2,Germany,Premium,51887,3.42,6,7187841.15,99416.89,0.3436,3.4163,34.3636,₹50–75L
BYD,Max,2026,Performance,101561.3,101.6,329.0,185.5,2.59,200.0,1000.0,906.0,RWD,5,Truck,62.3,2633.0,3,0,China,Luxury,216998,3.69,3,8480368.55,83468.19,0.388,3.2382,38.7955,₹75–100L
Tesla,Cybertruck,2024,Long Range,158925.9,82.5,291.0,310.8,4.06,186.0,1000.0,962.0,AWD,5,Truck,67.0,2567.0,5,3,US,Luxury,138950,3.85,6,13270312.65,160852.27,0.2193,3.5273,21.9286,₹100–150L
BYD,Yuan Plus,2023,Standard,21523.03,42.4,150.0,72.7,6.84,157.0,207.0,200.0,FWD,7,Sedan,16.9,1621.0,4,0,China,Budget,183596,3.23,3,1797173.0,42386.16,0.8346,3.5377,83.4644,<₹25L
BYD,Leaf 50X,2024,Premium,100360.19,50.0,193.0,132.4,6.15,155.0,1000.0,888.0,RWD,5,Van,61.5,1876.0,5,0,China,Luxury,137465,3.1,4,8380075.86,167601.52,0.2303,3.86,23.0308,₹75–100L
GM/Chevrolet,Bolt EUV,2026,Base,63696.78,78.0,262.0,101.2,7.32,136.0,835.0,746.0,FWD,5,Truck,62.1,2581.0,5,0,US,Mid-range,8032,3.56,3,5318681.13,68188.22,0.4926,3.359,49.2603,₹50–75L
BMW,i3,2024,Standard,84405.92,52.5,173.0,105.6,5.09,169.0,612.0,505.0,RWD,5,Truck,57.9,2679.0,3,1,Germany,Premium,42777,3.19,6,7047894.32,134245.61,0.2455,3.2952,24.5463,₹50–75L
Audi,Q6 e-tron,2024,Standard,73910.79,41.9,150.0,94.4,7.68,142.0,431.0,377.0,FWD,5,SUV,53.0,2121.0,4,1,Germany,Premium,36319,3.0,5,6171550.96,147292.39,0.2431,3.58,24.3051,₹50–75L
Hyundai,Ioniq 5,2025,Performance,57904.84,80.5,286.0,194.1,2.76,200.0,704.0,589.0,AWD,7,Sedan,30.1,1792.0,4,2,South Korea,Mid-range,68118,3.73,4,4835054.14,60062.78,0.5915,3.5528,59.1514,₹25–50L
Tesla,Cybertruck,2024,Base,38394.15,47.7,189.0,334.7,5.25,169.0,227.0,200.0,AWD,7,Truck,68.1,2403.0,3,3,US,Mid-range,246203,3.51,4,3205911.52,67209.89,0.5895,3.9623,58.9536,₹25–50L
GM/Chevrolet,Bolt EUV,2026,Standard,71136.28,49.6,171.0,135.8,7.19,142.0,938.0,820.0,FWD,5,Hatchback,39.3,1500.0,5,0,US,Premium,27175,3.31,4,5939879.38,119755.63,0.2879,3.4476,28.7885,₹50–75L
GM/Chevrolet,Blazer EV,2024,Long Range,76560.48,82.9,300.0,143.0,4.19,184.0,1000.0,882.0,RWD,5,Van,75.0,1598.0,4,0,US,Premium,12139,3.5,4,6392800.08,77114.6,0.4693,3.6188,46.9278,₹50–75L
Kia,Niro EV,2023,Premium,92594.29,74.2,257.0,76.8,6.08,158.0,1000.0,874.0,AWD,5,Coupe,23.4,1506.0,5,0,South Korea,Premium,83731,3.6,4,7731623.22,104199.77,0.3324,3.4636,33.2401,₹75–100L
Ford,Mustang Mach-E,2023,Long Range,76072.0,105.6,363.0,104.6,4.21,189.0,891.0,791.0,FWD,5,Hatchback,21.8,1734.0,5,0,US,Premium,48060,4.04,4,6352012.0,60151.63,0.5715,3.4375,57.1472,₹50–75L
Hyundai,Ioniq,2024,Standard,44654.99,65.4,223.0,143.4,7.07,146.0,440.0,435.0,RWD,5,SUV,43.9,1844.0,4,1,South Korea,Mid-range,128091,3.0,4,3728691.66,57013.63,0.5981,3.4098,59.8065,₹25–50L
Hyundai,Ioniq 6,2025,Performance,45837.99,84.4,306.0,182.4,3.82,192.0,416.0,397.0,RWD,5,Sedan,36.2,1557.0,5,0,South Korea,Mid-range,96533,3.3,3,3827472.16,45349.2,0.7995,3.6256,79.9483,₹25–50L
Volkswagen,ID.4,2023,Performance,80921.96,108.9,399.0,199.3,3.77,198.0,878.0,828.0,RWD,5,Hatchback,29.1,1500.0,3,1,Germany,Premium,234095,3.86,5,6756983.66,62047.6,0.5905,3.6639,59.05,₹50–75L
Tesla,Model X,2023,Performance,184745.86,106.3,348.0,325.6,3.73,198.0,1000.0,915.0,RWD,5,Coupe,31.5,1782.0,3,3,US,Luxury,148529,4.29,5,15426279.31,145120.22,0.2256,3.2738,22.5589,₹150–200L
Tesla,Cybertruck,2024,Performance,177944.09,93.0,295.0,334.1,3.79,193.0,1000.0,868.0,RWD,5,Truck,59.7,2270.0,3,3,US,Luxury,234160,3.91,6,14858331.52,159767.01,0.1985,3.172,19.8542,₹100–150L
Tesla,Cybertruck,2024,Base,59967.87,70.0,238.0,220.7,5.24,159.0,393.0,348.0,AWD,7,Truck,63.9,2448.0,4,2,US,Mid-range,228933,3.44,5,5007317.15,71533.1,0.4753,3.4,47.5304,₹50–75L
BMW,iX,2024,Performance,84125.95,98.9,363.0,225.3,4.25,192.0,658.0,592.0,RWD,5,Hatchback,34.2,1588.0,5,1,Germany,Premium,33561,3.47,7,7024516.82,71026.46,0.5168,3.6704,51.6762,₹50–75L
BYD,Qin,2022,Standard,37515.42,52.5,194.0,133.2,7.93,137.0,360.0,323.0,AWD,5,Truck,51.2,2894.0,4,0,China,Mid-range,192045,3.31,5,3132537.57,59667.38,0.6193,3.6952,61.9306,₹25–50L
Hyundai,Kona Electric,2022,Long Range,84513.62,109.9,400.0,83.7,5.88,165.0,1000.0,907.0,RWD,7,Coupe,32.6,1784.0,4,1,South Korea,Premium,95418,3.69,4,7056887.27,64211.9,0.5668,3.6397,56.6822,₹50–75L
Audi,e-tron,2025,Premium,80343.06,66.3,231.0,56.2,6.02,161.0,459.0,414.0,RWD,7,Van,67.1,1500.0,5,1,Germany,Premium,43236,3.38,7,6708645.51,101186.21,0.3443,3.4842,34.4332,₹50–75L
BYD,Leaf 50X,2025,Base,75747.87,69.2,279.0,108.2,6.2,154.0,815.0,722.0,FWD,5,Sedan,30.5,1500.0,3,0,China,Premium,114789,3.65,3,6324947.14,91400.97,0.4411,4.0318,44.111,₹50–75L
Volkswagen,ID.3,2024,Performance,50097.49,98.3,341.0,179.6,2.79,200.0,436.0,358.0,FWD,5,Van,75.1,1780.0,3,0,Germany,Mid-range,263009,3.76,5,4183140.42,42554.84,0.8152,3.469,81.5177,₹25–50L
GM/Chevrolet,Bolt EUV,2024,Premium,43668.28,79.4,284.0,108.1,7.81,120.0,453.0,469.0,RWD,7,Truck,60.3,2572.0,4,1,US,Mid-range,1211,3.34,3,3646301.38,45923.19,0.7789,3.5768,77.8871,₹25–50L
BYD,Qin,2025,Long Range,61700.64,101.3,351.0,69.9,4.53,175.0,649.0,584.0,AWD,7,SUV,62.5,1726.0,5,1,China,Mid-range,190763,4.0,3,5152003.44,50858.87,0.6813,3.465,68.1288,₹50–75L
