brand,model,year,variant,horsepower,torque_nm,acceleration_0_60_mph,top_speed_mph,price_inr,market_segment,power_to_price
Tesla,Model Y,2024,Premium,1000.0,929.0,5.49,152.0,11877065.88,Luxury,84.1959
NIO,EL6,2024,Performance,1000.0,847.0,2.82,200.0,12037082.78,Luxury,83.0766
BMW,i5,2026,Long Range,1000.0,891.0,5.83,160.0,10494831.1,Luxury,95.285
GM/Chevrolet,Silverado EV,2025,Premium,1000.0,910.0,6.63,157.0,5908383.18,Premium,169.251
Volkswagen,ID.4,2023,Long Range,1000.0,868.0,5.17,177.0,7876570.86,Premium,126.9588
Mercedes,EQC,2025,Performance,1000.0,943.0,4.32,185.0,15723228.69,Luxury,63.6002
Kia,Sportage EV,2024,Long Range,1000.0,842.0,4.04,194.0,7952936.62,Premium,125.7397
Fisker,Ronin,2020,Performance,1000.0,935.0,3.68,197.0,11949416.96,Luxury,83.6861
BYD,Max,2023,Long Range,1000.0,918.0,4.95,180.0,7854401.62,Premium,127.3171
Rivian,R3,2024,Performance,1000.0,918.0,3.13,196.0,8850709.42,Luxury,112.9853
Mercedes,GLE EV,2021,Performance,1000.0,912.0,4.22,189.0,14008002.58,Luxury,71.3878
Ford,E-Transit,2024,Premium,1000.0,928.0,6.92,139.0,8177072.34,Premium,122.2932
Tesla,Model Y,2025,Long Range,1000.0,893.0,4.48,191.0,12303375.97,Luxury,81.2785
NIO,EL8,2025,Premium,1000.0,879.0,7.78,132.0,8763629.78,Luxury,114.108
Kia,Niro EV,2025,Performance,1000.0,893.0,2.85,200.0,9226628.93,Luxury,108.3819
Volkswagen,ID.3,2023,Premium,1000.0,862.0,7.43,141.0,8317399.93,Premium,120.2299
BYD,Qin,2025,Performance,1000.0,942.0,3.67,200.0,8468423.04,Luxury,118.0857
BYD,Dolphin,2024,Premium,1000.0,935.0,6.95,147.0,8393922.67,Luxury,119.1338
Tesla,Model 3,2025,Performance,1000.0,931.0,3.06,200.0,14142096.9,Luxury,70.7109
GM/Chevrolet,Equinox EV,2024,Long Range,1000.0,916.0,4.44,179.0,6568821.42,Premium,152.2343
GM/Chevrolet,Bolt EUV,2025,Performance,1000.0,893.0,4.21,192.0,8521123.23,Luxury,117.3554
Volkswagen,ID.5,2025,Long Range,1000.0,873.0,5.38,170.0,7942179.32,Premium,125.91
BYD,Dolphin,2021,Premium,1000.0,856.0,5.34,164.0,8938955.56,Luxury,111.8699
Tesla,Cybertruck,2023,Performance,1000.0,870.0,2.97,200.0,15235708.1,Luxury,65.6353
GM/Chevrolet,Bolt EUV,2024,Premium,1000.0,966.0,5.43,168.0,6301009.36,Premium,158.7047
BMW,i3,2023,Premium,1000.0,891.0,5.91,158.0,10545719.34,Luxury,94.8252
Audi,Q4 e-tron,2025,Premium,1000.0,879.0,6.23,161.0,12898674.19,Luxury,77.5273
BMW,iX,2023,Long Range,1000.0,885.0,4.3,186.0,10882095.75,Luxury,91.8941
Hyundai,i30,2026,Premium,1000.0,924.0,7.68,135.0,6947185.8,Premium,143.9432
Ford,E-Transit,2024,Performance,1000.0,919.0,3.5,200.0,8280876.2,Premium,120.7602
Hyundai,Ioniq,2025,Premium,1000.0,852.0,5.34,169.0,6527941.49,Premium,153.1876
Hyundai,Kona Electric,2023,Long Range,1000.0,880.0,4.83,179.0,7476683.52,Premium,133.7491
Kia,Niro EV,2026,Performance,1000.0,879.0,3.68,199.0,7469646.98,Premium,133.8751
Toyota,bZ4X,2021,Performance,1000.0,920.0,3.95,182.0,7840565.66,Premium,127.5418
GM/Chevrolet,Blazer EV,2024,Long Range,1000.0,904.0,4.51,181.0,7162162.4,Premium,139.6226
Kia,Niro EV,2023,Premium,1000.0,874.0,6.08,158.0,7731623.22,Premium,129.3389
GM/Chevrolet,Blazer EV,2024,Long Range,1000.0,882.0,4.19,184.0,6392800.08,Premium,156.426
BYD,Leaf 50X,2024,Premium,1000.0,888.0,6.15,155.0,8380075.86,Luxury,119.3307
Tesla,Cybertruck,2024,Long Range,1000.0,962.0,4.06,186.0,13270312.65,Luxury,75.3562
BYD,Max,2026,Performance,1000.0,906.0,2.59,200.0,8480368.55,Luxury,117.9194
Hyundai,Ioniq,2024,Performance,1000.0,904.0,4.41,185.0,8682865.24,Luxury,115.1694
Xiaomi,SU7,2024,Premium,1000.0,910.0,5.61,173.0,7457438.44,Premium,134.0943
Hyundai,i30,2026,Premium,1000.0,893.0,6.71,152.0,7933113.72,Premium,126.0539
BYD,Max,2023,Long Range,1000.0,899.0,5.51,171.0,8263275.23,Premium,121.0174
Hyundai,Ioniq 5,2022,Performance,1000.0,920.0,4.12,194.0,7327727.87,Premium,136.4679
Ford,F-150 Lightning,2024,Performance,1000.0,902.0,4.25,189.0,9436347.52,Luxury,105.9732
Kia,EV6,2023,Premium,1000.0,942.0,6.15,151.0,6880692.25,Premium,145.3342
Volkswagen,ID.5,2025,Long Range,1000.0,893.0,4.8,176.0,8496740.4,Luxury,117.6922
Rivian,R2,2021,Performance,1000.0,887.0,2.76,200.0,9486793.22,Luxury,105.4097
Mercedes,EQC,2025,Premium,1000.0,877.0,6.56,152.0,16948288.08,Luxury,59.003
BMW,i3,2024,Performance,1000.0,942.0,2.77,200.0,10869708.52,Luxury,91.9988
Tesla,Model 3,2025,Premium,1000.0,857.0,6.63,155.0,12750961.86,Luxury,78.4255
Hyundai,Kona Electric,2022,Long Range,1000.0,907.0,5.88,165.0,7056887.27,Premium,141.7055
Tesla,Cybertruck,2024,Performance,1000.0,868.0,3.79,193.0,14858331.52,Luxury,67.3023
Tesla,Model X,2023,Performance,1000.0,915.0,3.73,198.0,15426279.31,Luxury,64.8244
Ford,Explorer EV,2021,Premium,1000.0,911.0,7.65,142.0,8177472.3,Premium,122.2872
Ford,E-Transit,2024,Performance,1000.0,926.0,3.85,191.0,9626597.26,Luxury,103.8789
Ford,Explorer EV,2024,Long Range,1000.0,877.0,4.62,188.0,7798229.5,Premium,128.2342
Tesla,Model S,2026,Performance,1000.0,901.0,4.49,184.0,14495683.5,Luxury,68.9861
BYD,Qin,2025,Premium,1000.0,893.0,7.72,139.0,8496626.83,Luxury,117.6938
Ford,F-150 Lightning,2024,Performance,1000.0,895.0,3.18,200.0,8915041.99,Luxury,112.17
BMW,i7,2023,Long Range,1000.0,893.0,4.88,175.0,10949141.24,Luxury,91.3314
Hyundai,Kona Electric,2025,Performance,1000.0,914.0,4.27,188.0,6932210.92,Premium,144.2541
Mercedes,EQS,2024,Premium,1000.0,880.0,5.04,178.0,16771790.8,Luxury,59.6239
BYD,Yuan Plus,2026,Long Range,1000.0,956.0,4.09,188.0,7697822.42,Premium,129.9069
Tesla,Cybertruck,2024,Premium,1000.0,901.0,7.89,135.0,12413744.6,Luxury,80.5559
BMW,i7,2022,Premium,1000.0,869.0,7.34,146.0,9744473.38,Luxury,102.6223
BMW,i7,2022,Performance,1000.0,888.0,4.46,180.0,12859824.98,Luxury,77.7616
Audi,Q6 e-tron,2024,Long Range,1000.0,873.0,5.2,169.0,10905611.02,Luxury,91.6959
Mercedes,EQG,2023,Long Range,1000.0,946.0,4.66,180.0,13687728.32,Luxury,73.0581
BMW,i3,2025,Performance,1000.0,867.0,2.76,200.0,13595693.78,Luxury,73.5527
Audi,Q4 e-tron,2022,Premium,1000.0,883.0,6.0,152.0,12075415.12,Luxury,82.8129
Kia,Niro EV,2025,Performance,1000.0,855.0,4.1,183.0,9330754.26,Luxury,107.1725
Tesla,Model S,2025,Premium,1000.0,916.0,7.57,135.0,11277257.0,Luxury,88.674
BYD,Dolphin,2024,Premium,1000.0,919.0,6.37,153.0,8726235.97,Luxury,114.5969
Kia,Niro EV,2024,Long Range,1000.0,897.0,4.71,173.0,6916617.29,Premium,144.5793
Volvo,XC40 Recharge,2026,Performance,1000.0,882.0,2.98,200.0,9313027.21,Luxury,107.3765
Porsche,Macan Electric,2024,Premium,1000.0,849.0,5.84,154.0,15380902.9,Luxury,65.0157
Volkswagen,ID.3,2023,Premium,1000.0,906.0,5.51,162.0,7718178.88,Premium,129.5642
Kia,EV6,2026,Premium,1000.0,870.0,5.63,155.0,7997266.78,Premium,125.0427
BMW,iX,2025,Long Range,1000.0,868.0,4.24,192.0,11330561.72,Luxury,88.2569
Tesla,Model S,2021,Premium,1000.0,781.0,6.27,153.0,11944097.18,Luxury,83.7234
BYD,Dolphin,2024,Premium,1000.0,861.0,7.58,132.0,7459922.56,Premium,134.0496
Hyundai,Ioniq 5,2025,Long Range,1000.0,949.0,4.08,194.0,7851408.98,Premium,127.3657
BYD,Atto 3,2025,Long Range,1000.0,895.0,5.38,164.0,7569572.26,Premium,132.1079
Tesla,Model 3,2024,Long Range,1000.0,928.0,5.24,175.0,11586540.16,Luxury,86.307
Hyundai,i30,2025,Performance,1000.0,914.0,3.92,192.0,8180075.83,Premium,122.2483
Mercedes,EQS,2022,Long Range,1000.0,855.0,4.62,182.0,14933149.18,Luxury,66.9651
Kia,Sportage EV,2023,Performance,1000.0,936.0,2.7,200.0,7726076.31,Premium,129.4318
Audi,Q4 e-tron,2024,Premium,1000.0,860.0,5.56,169.0,10859642.6,Luxury,92.0841
BMW,iX,2025,Premium,1000.0,890.0,5.3,169.0,11177155.52,Luxury,89.4682
Kia,Picanto EV,2023,Performance,1000.0,925.0,4.06,192.0,7073360.98,Premium,141.3755
Ford,Explorer EV,2022,Long Range,1000.0,889.0,5.18,175.0,7235251.62,Premium,138.2122
Toyota,bZ Compact SUV,2026,Long Range,1000.0,879.0,4.23,186.0,7255489.52,Premium,137.8267
GM/Chevrolet,Bolt EUV,2025,Long Range,1000.0,902.0,5.24,178.0,6228834.47,Premium,160.5437
BYD,Atto 3,2025,Long Range,1000.0,903.0,4.19,186.0,8703366.15,Luxury,114.8981
Hyundai,Kona Electric,2025,Performance,1000.0,880.0,3.9,193.0,7606933.5,Premium,131.459
NIO,EL8,2024,Long Range,1000.0,871.0,5.39,168.0,9963628.32,Luxury,100.365
Tesla,Model 3,2024,Performance,1000.0,906.0,3.97,184.0,11866787.04,Luxury,84.2688
BYD,Qin,2024,Performance,1000.0,891.0,2.61,200.0,8298343.56,Premium,120.506
Kia,Sportage EV,2025,Performance,1000.0,897.0,3.15,196.0,8349428.02,Premium,119.7687
Rivian,R2,2024,Long Range,1000.0,896.0,4.47,179.0,8080896.2,Premium,123.7487
BYD,Max,2023,Performance,1000.0,912.0,2.9,200.0,7801812.48,Premium,128.1753
BMW,i5,2025,Long Range,1000.0,900.0,4.24,183.0,9981524.04,Luxury,100.1851
Toyota,bZ Compact SUV,2023,Long Range,1000.0,898.0,4.43,176.0,6673000.2,Premium,149.8576
Ford,E-Transit,2025,Long Range,1000.0,897.0,5.16,173.0,8136281.75,Premium,122.9063
Volkswagen,ID. Buzz,2025,Premium,1000.0,880.0,6.87,146.0,7402355.16,Premium,135.0921
Hyundai,Ioniq,2023,Long Range,1000.0,899.0,5.18,178.0,7129882.97,Premium,140.2548
Hyundai,Ioniq 6,2024,Performance,1000.0,921.0,2.76,200.0,8905090.46,Luxury,112.2953
Volkswagen,ID. Aero,2023,Premium,1000.0,931.0,5.43,169.0,8988836.79,Luxury,111.2491
Volkswagen,ID.4,2021,Premium,1000.0,918.0,7.41,143.0,8777182.66,Luxury,113.9318
Volkswagen,ID. Aero,2025,Standard,1000.0,893.0,7.75,129.0,7347787.91,Premium,136.0954
Volkswagen,ID. Buzz,2025,Standard,1000.0,936.0,6.58,133.0,7325144.38,Premium,136.5161
Lucid,Air,2026,Premium,1000.0,889.0,8.0,125.0,18837111.52,Luxury,53.0867
BMW,i5,2024,Performance,1000.0,891.0,2.74,200.0,10959146.21,Luxury,91.248
Mercedes,GLE EV,2024,Premium,1000.0,932.0,7.92,136.0,16205402.78,Luxury,61.7078
Hyundai,Ioniq,2021,Premium,1000.0,933.0,5.26,175.0,6807689.87,Premium,146.8927
BMW,iX,2025,Long Range,1000.0,865.0,5.97,158.0,10425182.92,Luxury,95.9216
Volkswagen,ID. Buzz,2025,Long Range,1000.0,912.0,5.01,172.0,7817234.1,Premium,127.9225
Rivian,R2,2025,Premium,1000.0,909.0,6.8,137.0,8368778.32,Luxury,119.4918
Kia,Picanto EV,2024,Premium,1000.0,904.0,6.23,166.0,7675074.51,Premium,130.2919
Toyota,bZ4X,2026,Performance,1000.0,924.0,3.3,195.0,9077504.6,Luxury,110.1624
GM/Chevrolet,Bolt EUV,2024,Performance,1000.0,866.0,3.97,195.0,8192817.1,Premium,122.0581
BMW,i4,2025,Premium,1000.0,918.0,7.71,132.0,11189172.84,Luxury,89.3721
Tesla,Model X,2025,Premium,1000.0,909.0,5.06,177.0,12992964.9,Luxury,76.9647
Hyundai,Ioniq 6,2024,Performance,1000.0,850.0,2.96,200.0,8178755.7,Premium,122.268
Rivian,R3,2025,Long Range,1000.0,900.0,4.17,187.0,8782981.74,Luxury,113.8566
Volkswagen,ID. Aero,2024,Performance,1000.0,926.0,3.65,193.0,7711645.0,Premium,129.674
Hyundai,Ioniq 5,2025,Performance,1000.0,874.0,4.32,187.0,8136939.73,Premium,122.8963
Tesla,Model Y,2025,Performance,1000.0,870.0,3.52,193.0,11278207.22,Luxury,88.6666
BYD,Atto 3,2022,Performance,1000.0,876.0,3.71,192.0,8248299.5,Premium,121.2371
BYD,Atto 3,2026,Premium,1000.0,960.0,5.22,182.0,8547500.04,Luxury,116.9933
Audi,e-tron GT,2026,Performance,1000.0,899.0,4.2,190.0,10588933.1,Luxury,94.4382
Rivian,R3,2023,Performance,1000.0,932.0,3.1,200.0,8734843.98,Luxury,114.484
NIO,ET6,2025,Long Range,1000.0,882.0,4.01,200.0,9056678.87,Luxury,110.4158
BYD,Max,2023,Performance,1000.0,925.0,4.41,174.0,8549939.92,Luxury,116.9599
BMW,i7,2025,Performance,1000.0,910.0,4.14,193.0,13593552.0,Luxury,73.5643
BYD,Leaf 50X,2025,Premium,1000.0,925.0,5.51,164.0,8030647.57,Premium,124.523
Tesla,Model 3,2025,Premium,1000.0,867.0,6.85,152.0,10900220.26,Luxury,91.7413
Mercedes,EQC,2026,Performance,1000.0,953.0,4.37,192.0,15497003.81,Luxury,64.5286
BYD,Qin,2023,Performance,1000.0,911.0,4.07,192.0,7482798.22,Premium,133.6398
Tesla,Model S,2023,Premium,1000.0,870.0,6.75,147.0,13637270.93,Luxury,73.3285
BMW,iX,2024,Performance,1000.0,928.0,4.15,190.0,11240575.44,Luxury,88.9634
Volkswagen,ID. Buzz,2025,Premium,1000.0,920.0,7.11,147.0,9734269.68,Luxury,102.7298
Mercedes,EQE,2025,Premium,1000.0,936.0,5.28,170.0,16597138.86,Luxury,60.2513
Volkswagen,ID. Buzz,2023,Performance,1000.0,934.0,3.92,197.0,9573160.6,Luxury,104.4587
BYD,Qin,2026,Performance,1000.0,897.0,3.29,200.0,9352670.51,Luxury,106.9213
Ford,Explorer EV,2024,Performance,1000.0,860.0,3.18,200.0,8817885.57,Luxury,113.4059
Audi,Q6 e-tron,2025,Premium,1000.0,963.0,7.99,133.0,11565647.62,Luxury,86.4629
Hyundai,Ioniq 6,2025,Long Range,1000.0,895.0,4.38,181.0,6683373.4,Premium,149.625
BYD,Leaf 50X,2026,Long Range,1000.0,924.0,4.62,183.0,8515318.31,Luxury,117.4354
BMW,i7,2026,Premium,1000.0,870.0,7.12,151.0,10490713.72,Luxury,95.3224
Lucid,Air,2024,Premium,1000.0,928.0,5.11,163.0,22526229.2,Luxury,44.3927
Hyundai,Ioniq 5,2023,Performance,1000.0,920.0,4.08,184.0,8935942.04,Luxury,111.9076
BYD,Seagull,2021,Performance,1000.0,861.0,3.23,200.0,8332161.06,Premium,120.0169
BMW,i3,2021,Premium,1000.0,915.0,7.75,133.0,9977934.37,Luxury,100.2211
Tesla,Model Y,2024,Performance,1000.0,892.0,2.82,200.0,13544875.68,Luxury,73.8287
BMW,i5,2024,Long Range,1000.0,892.0,5.1,180.0,9801439.58,Luxury,102.0258
Tesla,Model Y,2024,Premium,1000.0,933.0,7.43,136.0,13888084.06,Luxury,72.0042
Kia,EV6,2021,Premium,1000.0,818.0,6.42,156.0,7625390.34,Premium,131.1408
Kia,Picanto EV,2025,Performance,1000.0,908.0,2.6,200.0,7348202.07,Premium,136.0877
Tesla,Cybertruck,2023,Premium,1000.0,859.0,6.94,147.0,14378128.02,Luxury,69.5501
Tesla,Model Y,2024,Premium,1000.0,891.0,7.94,124.0,14035741.28,Luxury,71.2467
Volkswagen,ID. Aero,2026,Performance,1000.0,867.0,3.3,196.0,8586118.8,Luxury,116.4671
Tesla,Model Y,2024,Long Range,1000.0,900.0,4.55,182.0,13252303.37,Luxury,75.4586
Tesla,Model S,2023,Performance,1000.0,935.0,3.44,200.0,14276216.28,Luxury,70.0466
BMW,i3,2023,Premium,1000.0,895.0,6.56,152.0,11518976.14,Luxury,86.8133
BYD,Seagull,2025,Premium,1000.0,922.0,7.45,136.0,9273696.2,Luxury,107.8319
Tesla,Model X,2024,Premium,1000.0,867.0,7.4,134.0,13156425.33,Luxury,76.0085
Tesla,Model 3,2026,Long Range,1000.0,925.0,5.28,173.0,12252215.52,Luxury,81.6179
Ford,E-Transit,2024,Long Range,1000.0,870.0,4.71,179.0,7055853.54,Premium,141.7263
BMW,i7,2023,Performance,1000.0,931.0,2.68,200.0,10164867.49,Luxury,98.3781
GM/Chevrolet,Silverado EV,2026,Long Range,1000.0,939.0,5.01,178.0,6267287.89,Premium,159.5587
Volkswagen,ID. Aero,2024,Performance,1000.0,870.0,2.83,200.0,9635713.8,Luxury,103.7806
BYD,Atto 3,2026,Premium,1000.0,870.0,5.53,163.0,7316267.5,Premium,136.6817
BYD,Max,2025,Performance,1000.0,913.0,3.74,191.0,9859450.38,Luxury,101.4255
Volkswagen,ID. Aero,2021,Performance,1000.0,935.0,2.82,200.0,8546049.65,Luxury,117.0131
BMW,i7,2025,Performance,1000.0,883.0,2.81,200.0,12603093.38,Luxury,79.3456
Volkswagen,ID. Aero,2022,Performance,1000.0,943.0,2.91,200.0,7869403.22,Premium,127.0744
BYD,Atto 3,2022,Long Range,1000.0,848.0,4.59,177.0,8441241.28,Luxury,118.466
BMW,i5,2024,Performance,1000.0,915.0,2.98,197.0,12013675.22,Luxury,83.2385
Tesla,Model 3,2024,Performance,1000.0,933.0,3.51,196.0,14297009.44,Luxury,69.9447
BMW,i5,2025,Performance,1000.0,873.0,3.52,194.0,11077659.43,Luxury,90.2718
BYD,Yuan Plus,2024,Premium,1000.0,888.0,7.41,132.0,8964466.48,Luxury,111.5515
Kia,Picanto EV,2022,Performance,1000.0,964.0,3.67,190.0,9283144.23,Luxury,107.7221
Hyundai,Ioniq 5,2024,Long Range,1000.0,924.0,4.33,189.0,6978107.52,Premium,143.3053
BMW,i4,2026,Performance,1000.0,904.0,2.9,200.0,11176662.04,Luxury,89.4722
BYD,Yuan Plus,2025,Performance,1000.0,947.0,3.12,200.0,9511179.39,Luxury,105.1394
Volkswagen,ID.4,2024,Premium,1000.0,896.0,6.84,142.0,9420243.72,Luxury,106.1544
Fisker,Ronin,2024,Performance,1000.0,948.0,4.15,178.0,13282107.86,Luxury,75.2893
Tesla,Model Y,2023,Premium,1000.0,899.0,6.26,156.0,12097973.48,Luxury,82.6585
Tesla,Model Y,2025,Premium,1000.0,900.0,7.02,146.0,12861855.7,Luxury,77.7493
BYD,Seagull,2021,Performance,1000.0,828.0,2.82,200.0,8885363.59,Luxury,112.5446
Kia,EV9,2025,Long Range,1000.0,929.0,4.93,179.0,7808424.01,Premium,128.0668
GM/Chevrolet,Equinox EV,2025,Long Range,1000.0,852.0,4.19,185.0,7044621.12,Premium,141.9523
Kia,Picanto EV,2026,Premium,1000.0,937.0,6.85,140.0,8114084.11,Premium,123.2425
Mercedes,GLE EV,2023,Long Range,1000.0,903.0,5.11,174.0,15234050.62,Luxury,65.6424
Mercedes,EQG,2023,Performance,1000.0,801.0,2.8,200.0,15115719.43,Luxury,66.1563
Mercedes,EQS,2025,Long Range,1000.0,849.0,4.04,193.0,15362866.9,Luxury,65.092
Tesla,Model S,2024,Long Range,1000.0,867.0,5.34,157.0,13084657.92,Luxury,76.4254
Hyundai,Kona Electric,2024,Premium,1000.0,936.0,6.87,148.0,8120510.27,Premium,123.145
GM/Chevrolet,Silverado EV,2023,Premium,1000.0,883.0,7.9,134.0,6169915.2,Premium,162.0768
Kia,Picanto EV,2021,Performance,1000.0,847.0,3.27,200.0,8893605.88,Luxury,112.4403
GM/Chevrolet,Blazer EV,2025,Premium,1000.0,888.0,5.67,176.0,6721967.1,Premium,148.766
Volkswagen,ID. Buzz,2025,Long Range,1000.0,891.0,4.11,191.0,8102761.51,Premium,123.4147
Rivian,R1S,2022,Premium,1000.0,930.0,6.37,161.0,8590366.44,Luxury,116.4095
Audi,e-tron GT,2024,Performance,1000.0,889.0,2.63,200.0,10176286.95,Luxury,98.2677
Tesla,Model S,2020,Performance,1000.0,877.0,4.08,187.0,13752768.14,Luxury,72.7126
BYD,Max,2024,Premium,1000.0,882.0,5.67,158.0,7366257.28,Premium,135.7542
Toyota,bZ Compact SUV,2025,Premium,1000.0,917.0,5.34,167.0,6643275.03,Premium,150.5282
Audi,e-tron GT,2025,Long Range,1000.0,873.0,5.26,176.0,10553812.16,Luxury,94.7525
Volkswagen,ID. Aero,2025,Premium,1000.0,906.0,6.05,158.0,9419061.36,Luxury,106.1677
Toyota,bZ Compact SUV,2024,Long Range,1000.0,915.0,4.78,181.0,7116006.1,Premium,140.5283
Ford,Explorer EV,2025,Long Range,1000.0,868.0,5.02,178.0,7744752.76,Premium,129.1197
BYD,Leaf 50X,2024,Performance,1000.0,892.0,3.33,200.0,9892148.14,Luxury,101.0903
Volkswagen,ID.4,2021,Premium,1000.0,872.0,5.06,176.0,8969385.46,Luxury,111.4904
GM/Chevrolet,Equinox EV,2025,Performance,1000.0,948.0,3.53,195.0,8464385.82,Luxury,118.1421
Volvo,XC90 Recharge,2025,Performance,1000.0,898.0,4.12,193.0,8877441.11,Luxury,112.6451
Kia,EV9,2025,Premium,1000.0,935.0,5.67,174.0,7513937.04,Premium,133.086
Xiaomi,SU7,2024,Long Range,1000.0,931.0,4.7,168.0,7965443.26,Premium,125.5423
NIO,ET5,2023,Premium,1000.0,939.0,5.99,162.0,9539082.58,Luxury,104.8319
BYD,Max,2024,Premium,1000.0,907.0,6.32,154.0,9454882.02,Luxury,105.7655
GM/Chevrolet,Bolt EUV,2025,Performance,1000.0,927.0,2.85,200.0,6776838.29,Premium,147.5614
Tesla,Model 3,2024,Long Range,1000.0,910.0,5.61,165.0,12411100.16,Luxury,80.573
Tesla,Model 3,2025,Premium,1000.0,906.0,6.4,158.0,11516037.77,Luxury,86.8354
Toyota,bZ4X,2026,Long Range,1000.0,879.0,4.89,178.0,7451423.94,Premium,134.2025
Kia,EV6,2025,Performance,1000.0,905.0,2.71,200.0,9797201.96,Luxury,102.07
Kia,EV6,2022,Long Range,1000.0,874.0,4.21,179.0,7579391.02,Premium,131.9367
BMW,i7,2025,Premium,1000.0,905.0,5.28,170.0,12567765.36,Luxury,79.5686
Mercedes,EQC,2024,Long Range,1000.0,874.0,5.15,172.0,14144502.54,Luxury,70.6988
Rivian,R1S,2024,Standard,1000.0,929.0,5.38,170.0,7191014.99,Premium,139.0624
Rivian,R3,2026,Performance,1000.0,935.0,3.03,200.0,9497242.4,Luxury,105.2937
Porsche,Macan Electric,2025,Standard,1000.0,936.0,7.79,132.0,15611985.82,Luxury,64.0534
BYD,Dolphin,2025,Performance,1000.0,930.0,3.74,189.0,8251603.6,Premium,121.1886
Mercedes,EQS,2024,Performance,1000.0,941.0,3.1,200.0,15359817.48,Luxury,65.1049
Mercedes,EQC,2024,Premium,1000.0,943.0,5.18,175.0,13982985.98,Luxury,71.5155
Volkswagen,ID. Buzz,2023,Premium,1000.0,879.0,7.86,134.0,8338613.1,Premium,119.924
BYD,Max,2025,Premium,1000.0,904.0,7.14,143.0,8374745.22,Luxury,119.4066
Ford,F-150 Lightning,2025,Long Range,1000.0,875.0,5.32,165.0,7604695.7,Premium,131.4977
Tesla,Model X,2025,Long Range,1000.0,955.0,4.56,177.0,12851939.24,Luxury,77.8093
GM/Chevrolet,Blazer EV,2023,Performance,1000.0,925.0,3.57,195.0,6496484.54,Premium,153.9294
Volkswagen,ID.5,2024,Performance,1000.0,884.0,4.38,192.0,8909756.44,Luxury,112.2365
BYD,Seagull,2025,Premium,1000.0,891.0,6.74,143.0,8231351.51,Premium,121.4867
